English sentence,Swahili Translation
Close your eyes for a moment and look for the answer.,Fumba macho yako kwa muda mfupi na utafute jibu.
You arranged the chairs in a row.,Ulipanga viti katika safu.
"As you requested, I have attached a recent passport-sized photograph.","Kama ulivyoomba, nimeambatisha picha ya ukubwa wa pasipoti."
Everyone should discover for themselves the happiness of sharing.,Kila mtu anapaswa kugundua wenyewe furaha ya kushirikiana.
You're beautiful in every way.,Umerembeka kwa njia zote.
I saw a funny clown with a big red nose.,Niliona kinyago cha kuchekesha na pua kubwa nyekundu.
The trunk is the main part of a tree.,Gogo ndio sehemu kuu ya mti.
"My wife is asleep on the couch, but her snoring is disturbing my sleep.","Mke wangu amelala kochini, lakini kukorma kwake kunasumbua usingizi wangu."
The chance of rain is low.,Nafasi ya mvua kunyesha iko chini.
The neighborhood was silent.,Majirani walikuwa kimya.
It's a huge commitment.,Ni ahadi kubwa sana.
It sounds terribly complicated.,Inaonekana ngumu sana.
I'm seriously considering moving to Boston.,Ninafakari kuhamia Boston.
Consider the following scenario.,Fikiria kuhusu kisa kifuatacho:
The place was crawling with cops.,Polisi walikuwa wametambaa mahali pale.
The street behind my house is too narrow for delivery trucks.,Mtaa uliopo nyuma ya nyumba yangu ni mdogo sana kwa upatikanaji malori.
Do you want me to go to Boston with you?,"Je, unataka tuende Boston na wewe?"
I didn't leave until after 2:30.,Sikutoka hadi baada ya saa 8:30.
The movie was actually much better than I expected.,Sinema ilikuwa nzuri kuliko nilivyotarajia.
Who's knocking on the door?,Nani anayebisha mlango?
This decision was hard to make.,Ulikuwa vigumu kufanya uamuzi.
More research is needed.,Utafiti zaidi unahitajika.
Proper ID is required.,Kitambulisho sahihi inahitajika.
Tickets are available for $30 per couple or $20 per single reservation.,Tiketi zinapatikana kwa $30 kwa watu wawili au $20 kwa mtu mmoja.
It seemed so simple.,Ilionekana rahisi sana.
This stuff is terrific.,Msongamano huu wa magari ni mkubwa.
Times were hard.,Zilikuwa nyakati ngumu.
I'm giving my husband a massage.,Ninampa mume wangu ujumbe.
She liked to talk about her kids.,Anapenda kuzungumza kuhusu watoto wake.
She was standing alone in the parking lot.,Alisimama peke yake mahali pa maegesho.
"After eating the ice cream, my stomach began to hurt.","Baada ya kula ice cream, tumbo langu likaanza kuuma."
We have three adopted children. The younger two are biological brothers.,Tumewaasili watoto watatu. Wadogo wawili kati yao ni ndugu wa damu moja.
Once upon a time there lived a king and queen who had three very beautiful daughters.,Zamani za kale kuliishi mfalme na malkia ambaye walikuwa na mabinti watatu warembo sana.
We could hear wolves howling in the distance.,Tunaweza kusikia mbwa mwitu akilia kwa mbali.
Discipline is the most important part of success.,Jambo muhimu sana katika mafanikio ni nidhamu.
Do I need a special needle to start cross-stitching?,"Je, ninahitaji sindano maalumu kuanza kushona?"
"Latin American soccer teams perform quite well, especially vis-à-vis teams from Asia.","Timu za soka za Amerika ya Kusini hufanya vizuri kabisa, hususan timu za kutoka Asia."
Their relationship was strictly sexual.,Urafiki wao ulikuwa kingono.
There must be a connection between these murders.,Lazima kuwe na uhusiano kati ya mauaji haya.
"The birds were not shy, but let the girls take them in their hands, and stroke their gold and silver feathers.","Ndege hawakuwa na aibu, lakini waliwacha wasichana wawachukue mikononi mwao, na wavute manyoya yao ya dhahabu na fedha."
"You are only a common mortal, who will have to die one day, and you cannot stay here any longer.","Wewe ni mtu wa kawaida, ambaye siku moja utakufa, na hutaweza kukaa hapa tena."
"C'mon, let's eat something!","Njoo, wacha tule kitu!"
"I am no common prisoner, but the king of this country. Let me go free and ask what you will as your reward.","Mimi si mfungwa wa kawaida, lakini mfalme wa nchi hii. Acha niende bure na uulize utakavyoi kama thawabu yako."
"Stress can be a real vicious cycle. The greater the amount of stress, the harder it is to make smart logical decisions for yourself which only leads to more stress.","Dhiki inaweza kuwa mzunguko mbaya sana. Kadri wasiwasi inavyozidu, ndivyo inavyokuwa vigumu kufanya maamuzi busara yako mwenyewe ambayo husababisha wasiwasi zaidi."
People like me who have lots of imagination aren't easily jealous.,Watu kama mimi ambao wana mafikira mengi hawakui na wivu kwa urahisi.
"One day, Jesus will return for us and we will be with him forever.","Siku moja, Yesu atarudi kwa ajili yetu na tutakuwa pamoja naye milele."
This fantasy of wanting to live in poverty is a silly woman's dream.,Ndoto hii ya kutaka kuishi katika umaskini ni ndoto ya mwanamke mpumbavu.
How did you fall into the swamp? Somebody pushed us.,Jinsi gani ulianguka kwenye bwawa? Mtu fulani alitusukuma.
"Down Halloween Road from the mansion to the corner store, it takes about 16 minutes to walk.","Chini ya barabara ya Halloween kutoka nyumba kubwa hadi duka la kona, inachukua kama dakika 16 kutembea."
Their country is a puppet of a Western power.,Nchi yao ni bandia ya nguvu ya Magharibi.
"""I can count from 1 to 100 in French now."" ""Wow, that's great. How about counting backwards from 100 to 1?"" ""No, that's still impossible for me.""","""Naweza kuhesabu kutoka 1 hadi 100 kwa Kifaransa sasa."" ""Wow, hiyo ni nzuri. Vipi kuhusu kuhesabu kurudi nyuma kutoka 100 hadi 1? "" ""Hapana, hiyo bado haiwezekani kwangu."""
This former child actor later became a drug addict.,Muigizaji huyu mtoto wa zamani baadaye alikua mtumizi wa dawa za kulevya.
Our country must take action against climate change.,Nchi yetu lazima ichukue hatua dhidi ya mabadiliko ya hewa.
You may do whatever you want to do.,Unaweza kufanya chochote unachotaka kufanya.
I'm going to correct this.,Nitarekebisha hili.
The crowd is cheering.,Umati wa watu unashangilia.
I thought you'd love it.,Nilifikiri utaipenda.
"Geez, that must be tough on you. How do you put up with it?","Aise, hilo ni ngumu. Unawezaje kuvumilia hayo?"
That number is just perfect.,Nambari hio ni shwari kabisa.
"With the lack of men in my life, I'm considering turning lesbian.","Pamoja na ukosefu wa wanaume katika maisha yangu, ninafikiria kuwabadirisha wasagaji."
Today I am messing up everything.,Leo naharibu kila kitu.
"If the lion is the king of beasts, the eagle is the king of birds.","Simba ndiye mfalme wa mwituni, mwewe ndiye mfalme wa ndege"
Who will want a motorcycle with screeching brakes?,Nani atataka pikipiki iliyo na breki mbaya?
The union and the company have agreed upon a new contract.,Chama cha ushirika na kampuni wakubaliana mkataba mpya.
You have to audition to join the choir.,Lazima ukaguliwe ili ujiunge na kwaya.
I shot the horse because it had trouble breathing.,Nilimpiga risasi farasi kwa kuwa alikuwa na shida ya kupumua.
We had a lot to drink.,Tuna mengi ya kunywa.
You said that it was urgent.,Ulisema kuwa ilikuwa ya dharura.
Robert Smith is the singer of the group The Cure.,Robert Smith ndiye mwimbaji wa kikundi kinachoitwa The Cure.
They named her baby Jenny.,Wakampa mtoto wake jina la Jenny.
That black dog is looking at that white cat.,Mbwa huyo mweusi anamtazama paka huyo mweupe.
Parts of the city looked like a disaster zone following the storm.,Sehemu za jiji zilionekana kama eneo la msiba kufuatia dhoruba hiyo.
That movie won an Oscar as the best foreign film.,Sinema hiyo ilishinda Tuzo la Oscar kama filamu bora ya kigeni.
This message will self-destruct in five seconds.,Ujumbe huu utajiharibu wenyewe katika sekunde tano.
One hour of sleep before midnight is better than two afterwards.,Saa moja ya kulala kabla ya usiku wa manane ni bora kuliko mawili baadaye.
I don't have anything better to do.,Sina kitu bora kufanya.
Is the water in the Black Sea actually black?,"Je, maji yaliyopo Black Sea ni nyeusi kweli?"
Um... can we join your group?,Um ... tunaweza kujiunga na kikundi chako?
"I am a king's daughter, and am seeking my twelve brothers, and I will walk as far as the sky is blue until I find them.","Mimi ni binti wa mfalme, ninatafuta ndugu zangu kumi na wawili, na nitatembea hadi anga liwe la bluu mpaka nitakapowapata."
"The princess next put on the bear's skin, which so completely changed her appearance, that no one could have known that she was a girl and not a bear.","Malkia baadaye alivaa ngozi ya dubu, ambayo ilibadilisha kabisa sura yake, hivi kwamba hakuna mtu angejua kuwa yeye ni msichana na wala sio dubu."
A state of emergency has been declared in Washington DC and five states.,Hali ya dharura imetangazwa katika Washington DC na majimbo matano.
"Before electricity was discovered, Christmas trees used to be lit by candles.","Kabla ya umeme kugunduliwa, miti ya Krismasi ilitumia mishumaa."
Forty percent of food in the United States is wasted.,Asilimia arobaini ya chakula Marekani hutupwa.
This politician is suspected of having connections to organized crime.,Mwanasiasa huyu anashukiwa kuwa na uhusiano katika uhalifu uliopangwa.
Precisely at nine o'clock came the Princess in the carriage with four horses.,Mwana wa Mfalma alifika saa tisa kamili kwa gari akiwa na farasi nne.
"Lately, I've been growing a pot belly. It must be middle age...",Karibuni nimeota kitambi. Pengine ni umri wa kati.
Are you still playing tennis?,"Je, bado unacheza tenisi."
How do we prevent this from happening again?,Tutazuia jinsi gani jambo hili lisitokee tens?
Is the lady trying to blackmail me?,Yaani binti huyu anajaribu kunilaghai?
You didn't let me finish my sentence.,Hukuniruhusu kumaliza sentesi yangu.
My thoughts and prayers are with all those who were affected by this terrible tragedy.,Mawazo yangu na sala zako ziko na wale wote walioathiriwa na janga hili mbaya.
"You’re seriously starting to get on my nerves! I’m perfectly capable of doing it myself, thank you very much!","Unaanza kunikasirisha sana! Nina uwezo kabisa wa kuifanya mwenyewe, asante sana!"
"It is humanity that has lost the man. Say that this idiot would have been more happy as an animal, if he had been able to keep quiet. But no... he invented civilization.","Ni utu ambao umempoteza binadamu. Sema kwamba pumbavu huyu angefurahi zaidi kama angekuwa mnyama, ikiwa angeweza kunyamaza. Lakini la ... alivumbua ustaarabu."
I can't face the truth.,Siwezi kustahimili ukweli.
"Jesus told us to turn the other cheek, love our enemies, and pray for them.","Yesu alituambia tuwageuzie shavu lingine, tuwapende maadui zetu, na tuwaombee."
"Whether you’re flying solo or in a relationship, I'll be thinking of you this Valentine’s Day.","Ikiwa unaruka peke yako au uko kwenye uhusiano, nitakuwa nikikufikiria Siku hi ya wapendanao."
The temperature in Boston is expected to drop to -22°C.,Halijoto mjini Boston linategemewa kushuka hadi -22C.
"If the guests don't mind, they are welcome to sleep in the basement.","Ikiwa wageni hawajali, wanakaribishwa kulala kwenye ghirofa ya chini."
Lawyers will urge the parents to take further legal action.,Wanasheria watawasihi wazazi kuchukua hatua zaidi za kisheria.
I wish to gain time.,Natarajia kupata muda.
We help each other.,Tunasaidiana.
Laughter helps ease the pain.,Kicheko husaidia kupunguza uchungu.
Big breasts in Japan are considered small by Russian standards.,Matiti makubwa huko Japan yanaonekana kuwa madogo kwa viwango vya Urusi.
I'll be there till 2:30.,Nitakuwa huko hadi 8:30 mchana
"Despite the fact that they were all Dutch people, they spoke German with each other.","Licha ya ukweli kwamba wote ni watu wa Uholanzi, walizungumziana Kijerumani."
Mental strength is crucial for success in any sports.,Nguvu za Kiakili ni muhimu sana kwa mafanikio katika michezo yoyote.
My name sounds bizarre.,Jina langu linasemeka vibaya.
What's the difference between a winner and a loser?,Kuna tofauti gani kati ya mshindi na mshindwa?
Without a goodnight kiss I won't have sweet dreams.,Bila busu ya usiku mzuri sitakuwa na ndoto tamu.
I'm sure I've seen him somewhere before.,Nina hakika nilimuona mahali fulani kabla.
It's kind of scary.,Inaogopesha kwa nama fulani.
We're not proud of it.,Hatujivunii.
Please take a moment to locate the exit closest to you.,Tafadhali chukua muda wa kutafuta njia ya kukutoa katika hili.
"Melt the chocolate, add butter and mix well.","Kuyeyusha chokoleti, ongeza siagi na changanya vizuri."
"With any luck, my cellphone battery won't die.","Kwa habati nasibu, betri ya simu yangu haiwezi kuzima."
"Life is a tragedy when seen in close-up, but a comedy in long-shot. To truly laugh, you must be able to take your pain, and play with it!","Maisha ni janga wakati yakitazamwa kwa karibu, lakini ni kichekesho kwa muda mrefu. Ili kucheka kweli, lazima uwe na uwezo wa kuchukua maumivu yako, na kuyachezea!"
"""As for the sheets, I'll hang them up myself,"" said the neighbor. ""They're awfully heavy.""","""Na kuhusu mashuka nitayaanika mwenyewe,"" alisema jirani. ""Ni mazito sana"""
This politician was accused of stealing millions of dollars in public funds.,Mwanasiasa huyu alishutumiwa kwa kuiba mamilioni ya dola katika fedha za umma.
They feed on honey and bread.,Wanakula asali na mkate.
I'm wondering what'll happen if I push this button.,Najiuliza kitatokea nini nikibonyeza hiki kifungo
"Ever since she fell in the kitchen, her mind hasn't been all there.","Tangu alipoanguka jikoni, akili yake haijawahi huko."
New Delhi is the capital of India.,New Delhi ni mji mkuu wa India.
Is that your new friend?,Huyo ni rafiki yako mpya?
"For breakfast, Sandra had a slice of bread and a cup of coffee.","Kwa kiamsha kinywa, Sandra alikuwa na kipande cha mkate na kikombe cha kahawa."
Life is hard for everybody.,Maisha ni magumu kwa kila mtu.
The old church is located in the northern part of the city.,Kanisa la zamani liko kaskazini mwa mji.
"From what you can tell, what subject would he have interest in?","Kwa maoni yako, ni mambo gani ambayo yangemvutia?"
"For my part, I don't travel to go somewhere in particular. I travel for travel's sake. The main thing is to move.","Kwa upande wangu, sisafiri kwenda mahali fulani haswa. Ninasafiri kwa sababu ya kusafiri tu. Muhimu ni kuendelea mbele."
The police weren't able to determine which one of the twins had committed the crime.,Polisi hawakuweza kuamua ni yupi kati ya mapacha aliyefanya uhalifu huo.
The prosecution could not prove which of the twins had committed the crime.,Upande wa mashtaka haukuweza kudhibitisha ni nani kati ya mapacha aliyefanya uhalifu huo.
Did I touch a raw nerve?,"Je, niliguza hali ya wasiwasi."
"Cops came with guns drawn, as I was talking to the owner on the phone.","Askari walikuja na bunduki, nilipokuwa nazungumza na mmiliki kwenye simu."
The birds were chirping happily.,Ndege walikuwa wakilia kwa furaha.
"As soon as I'm back in Shanghai, I'll cook up a delicious meal of rice noodles with crab.","Mara tu niliporudi huko Shanghai, nitapika chakula kitamu cha noodle za mchele na kaa."
"Have you ever just let the chocolate melt in your mouth? I swear, it tastes even better this way.","Umeshawahi kuwacha chokleti iyeyuke ndani ya mdomo wako? Ninaapa, ina ladha zaidi namna hii."
I thank you for your courtesy.,Asante kwa hisani yako.
A bike path collapsed in Rio.,Mpito wa baiskeli iliporomoka huko Rio.
"Do that for me, my son, delay no more, nor mention Troy again.","Unifanyie hivyo, mwanangu, usichelewe tena, wala usimtaje Troy tena."
Jesus drove the money-changers out of the temple.,Yesu aliwafukuza wabadilishaji fedha kutoka Hekaluni.
My Mercedes is bigger than yours.,Mercedes yangu ni kubwa kuliko yako.
I am a jerk and a moron who does not deserve fortune.,Mimi ni mpumbavu na mjinga asiyefaa haifaa fursa.
The judge denied me bail for no reason.,Jaji alininyima dhamana bila sababu.
There are huge snakes on this island.,Kuna nyoka wakubwa katika kisiwa hiki.
Did you fit all the clothes in the bag?,Nguo zote zilizo kwenye begi zinakutosha?
"These days, nearly every car has a GPS.","Siku hizi, karibu kila gari ina GPS."
French is not the only language that I learn.,Kifaransa sio lugha pekee ambayo ninajifunza.
What a dummy! I forgot my keys!,Ni upuuzi gani huu! Nilisahau funguo zangu!
The false alarm caused panic.,Kengele ya uwongo ilisababisha hofu.
Marie admitted that she was a prostitute.,Marie alikubali kwamba alikuwa kahaba.
"Are we gonna get some wine, dude?","Je, utapata divai, bwana?"
I found out that he was a pimp.,Niligundua kwamba alikuwa kuwadi.
Sydney is miles away from here.,Sydney ni maili mbali na hapa.
What if you did do it?,"Na je, ungefanya hivyo?"
I ask your soul and consciousness: Would life be worth living without the death penalty?,Ninauliza roho na fahamu zako: Je! Maisha yangefaa kuishi bila adhabu ya kifo?
I have extremely light skin and never tan.,Nina ngozi nyeupe sana hadi sigeuki rangi.
She asked if I need a taxi.,Aliuliza ikiwa nahitaji taksi.
"According to the tradition, Homer was blind.","Kwa mujibu wa utamaduni, Homer alikuwa kipofu."
"I built ten thousand walls, for you to knock them all down.","Nilijenga kuta elfu kumi, kwa ninyi kuiangusha yote chini."
It's dangerous to climb mountains during a storm.,Ni hatari kupanda mlima wakati wa dhoruba.
It's dangerous to climb a mountain during a storm.,Ni hatari kupanda mlima wakati wa dhoruba.
I asked him for his name.,Nikamuuliza jina lake.
I often travel between Rome and Milan.,Mimi husafiri kati ya Roma na Milan mara kwa mara.
Eve gave Adam the apple of knowledge.,Eva alimpa Adam tunda la ujuzi.
O positive is the most common blood type.,Damu ya O+ ndiyo aina maarufu zaidi.
What's making you so busy?,"Je, nini inakufanya ujishughulishe hivyo?"
I'll remain in Moscow for six days.,Nitabaki huko Moscow kwa siku sita.
She is as old as the devil's grandmother.,Yeye ni mzee kama nyanya ya shetani.
I'm not disappointed.,Nimevunjika moyo.
If only my thoughts were set into type and would come out of my mouth like a receipt.,Lau mawazo yangu yangechapishika na kutoka kinywani mwangu kama risiti.
I wish I had written it myself.,Afadhali ningeandika mwenyewe.
"I asked God for a bike, but I realized that that wasn't his method. So I stole a bike and asked God for forgiveness.","Nilimuomba Mungu baiskeli, lakini nikagundua kuwa hiyo haikuwa njia yake. Kwa hivyo niliiba baiskeli na kumwomba Mungu msamaha."
She works as an au pair in Germany.,Yeye hufanya kazi kama jakazi Ujerumani.
Are you filming?,"Je, unachukua filamu?"
"By the way, I've got to tell you something.",Ninalo jambo la kukwambia.
"""What countries are you a citizen of?"" ""I am a citizen of Turkey and Germany.""","""Je, wewe ni raia wa nchi gani?"" ""Mimi ni raia wa Uturuki na Ujerumani."""
The politician claimed that he wore neither a wig nor false teeth.,Mwanasiasa huyo alidai kuwa hakuvaa wig wala meno ya uwongo.
I got really sick of it.,Niliugua sana.
This kind of hot weather is something I'm not used to.,Aina hii ya hali ya hewa moto ni kitu ambacho sikuzoea.
I'm used to hearing sirens.,I'm used to hearing king'ora.
"A man once said to the Buddha, ""I want to be happy!"" Buddha said, ""First remove 'I', that's ego, then remove 'want', that's desire. See, now you are left with only happiness!""","Sku moja mtu mmoja alimwambia Buddha, ""Nataka kuwa na furaha!"" Buddha alisema, ""Ondoa kwanza 'mimi', hiyo ni kiburi, kisha uondoe 'unataka', hiyo ni hamu. Tazama, sasa umebaki na furaha tu! """
I don't want to be like all those who first ruin their health in search of money and then afterwards ruin themselves just to get it back.,Sitaki kuwa kama wale wote ambao kwanza huharibu afya zao kutafuta pesa halafu baadaye hujiharibu kujirejeshea afya.
Rape is always a crime of violence.,Ubakaji daima ni uhalifu wa kuvuruga.
Napoleon led his troops to Russia.,Napoleon aliongoza vikosi vyake kwenda Urusi.
Hunger is our bodies' response to having eaten less than normal.,Njaa ni mwitikio wa miili yetu kwa kuwa tumekula kidogo kuliko kawaida.
"If we’re truly a nation of family values, we wouldn’t put up with the fact that many women can’t even get a paid day off to give birth.","Kama kweli sisi ni taifa linalothamini familia, tusingevumilia ukweli wa kwamba wanawake wengi hawawezi hata kupata likizo ya uzazi."
"A ship in the harbor is safe, but that is not what ships are built for.","Meli bandarini iko salama, lakini meli hazikujengwa kwa kusudi hilo."
I would do the same thing.,Ningefanya mambo yale yale.
I needed to go for a ride.,Nahitaji kwenda kupunga hewa.
A new type of thinking is essential if mankind is to survive and move toward higher levels.,Aina mpya ya fikra ni muhimu ikiwa binadamu ataishi na kusonga mbele kwa viwango vya juu.
I've gained weight and these pants are quite tight.,Nimepata uzani na suruali hii imenishika kweli.
London voted to remain in the European Union.,London walipiga kura kubakia katika Jumuiya ya Ulaya.
I'll arrange that.,Nitaanda hilo.
"Sugar is sweet, lemon is sour... and what is bitter?","Siagi ni tamu, chungwa ni kali ... na ni nini chungu?"
Grass now grows on the path that once led to the church.,Nyasi sasa inakua kwenye njia iliyokuwa inaelekea kanisani.
I wear shorts all the time.,Huwa na valia vinyasa kila wakati.
I don't work on weekends.,Sifanyi kazi wikendi.
He laughs because the film is funny.,Anacheka kwa sababu filamu ni ya kuchekesha.
He always kisses his girlfriend goodbye when they part ways.,Huwa anamubusu mpenzi wake kwaheri wanapoachana.
The ship's captain had no schedule in particular.,Rubani wa meli hakuwa na ratiba haswa.
I'd like to see what happens.,Ningependa kuona kinachotokea.
"In the past, people went to church for confession. Nowadays they write on Facebook.","Hapo zamani, watu walikwenda kanisani ili kukiri. Siku hizi wanaandika kwenye Facebook."
Giving gifts is always nicer than receiving them.,Kutoa zawadi huwa bora zaido kuliko kuzipokea.
The eyes of Europe are fixed upon us; she demands of us a living example of freedom.,Macho ya Uropa yanatulenga; yanatutaka mfano hai wa uhuru.
No business which depends for existence on paying less than living wages to its workers has any right to continue in this country.,Hakuna biashara yoyote ambayo inategemea kulipa chini ya mshahara wa kuishi kwa wafanyikazi wake inayo haki yoyote ya kuendelea katika nchi hii.
Among us today a concentration of private power without equal in history is growing.,Kati yetu leo ​​mkusanyiko wa nguvu za kibinafsi bila usawa katika historia unakua.
Questioning received wisdom is the driving force behind progress.,Kuuliza kuhusu hekima iliyopokelewa ndiyo msingi wa maendeleo.
No one tests the depth of a river with both feet.,Hakuna mtu anayejaribu kina cha mto na miguu yote miwili.
Click on the button below to confirm your order.,Bonyeza kitufe hapa chini ili kudhibitisha agizo lako.
"Space dust may not sound very dangerous, but when even a tiny object is moving many times faster than a bullet, it can cause injury.","Vumbi huenda isiwe hatari sana, lakini wakati hata kitu kidogo kinaposonga kwa kasi nyingi kuliko risasi, inaweza kusababisha jeraha."
"Our sun will run out of energy in about five billion years. If anyone is around when it happens, they’ll have to leave Earth and find a new planet.","Jua letu litamaliza nguvu katika miaka kama bilioni tano. Mtu akiwa karibu inapotokea, watalazimika kuondoka Duniani na kupata sayari mpya."
The top few meters of the ocean store as much heat as Earth's entire atmosphere.,Mita chache za juu za bahari huhifadhi joto kama mazingira ya Dunia.
It's not like that. We're just friends.,Sio hivyo. Sisi ni marafiki tu.
Japan depends on the Arab countries for its oil supply.,Japan inategemea nchi za Uarabuni kwa usambazaji wake wa mafuta.
"Proceed strongly in the matter, but gently in the method!","Kuendelea kwa nguvu katika suala hilo, lakini kwa upole kwa namna!"
Weight is a force that is always directed toward the center of the earth.,Uzito ni nguvu ambayo huelekezwa kila wakati katikati mwa dunia.
"""Why do you hang out with those losers?"" ""They're not losers. They're my friends.""","""Kwanini unashirikiana na wapotevu wale?"" ""Wale sio wapotevu."" ""Ni marafiki zangu."""
"Fame does not bear joking, nor does the eye bear keeping faith.","Umaarufu hauna utani, wala jicho halijali imani."
I'm afraid I have no experience.,Nahofia sina tajiriba.
"Friendship is a ship big enough to carry two in fair weather, but none in foul.","Urafiki ni meli kubwa ya kutosha kubeba wawili wepesi, lakini siyo kwa wazito."
Place the bread and butter plate above the fork.,Weka sahani ya mkate na siagi juu ya uma.
I'm at a friend's house.,Nipo nyumbani kwa rafiki yangu.
Payment can be made by credit card or cash on delivery.,Malipo yanaweza kufanywa na kadi ya mkopo au pesa taslimu.
That box is heavy.,Sanduku hilo ni nzito.
Lunch is served.,Chakula kiko tayari.
Marie was the only girl to wear a skirt.,Marie alikuwa msichana wa pekee kuvaa sketi.
What has he tricked you into believing this time?,"Je, amekuhadaa kufanya nini mara hii?"
Form the dough into a ball.,Tenfeneza unga uwe mpira.
My friends wanted details.,Marafiki zangu walitaka maelezo zaidi.
Smoke was choking her.,Moshi ulikuwa ukimyonga.
The hunters got up before dawn.,Wawindaji waliamka kabla ya macheo.
Whoever hears his recorded voice has the feeling of having heard a stranger.,Yeyote anayesikia sauti yake iliyorekodiwa ana hisia za kumsikiliza mgeni.
A new railway bridge will be built between the two cities.,Daraja jipya la reli litajengwa kati ya miji hiyo miwili.
Many of the soldiers kissed their husbands goodbye.,Wanajeshi wengi waliwaaga mabwana zao kwa kuwapigia busu.
"Just as the fairy tale finished, the child had already fallen asleep.","Pindi hadithi ilipokamilika, mtoto alikuwa amekwisha lala."
She's being questioned by our sketch artist.,Anahojiwa na mchoraji wetu.
She's just a babe in the woods.,Yeye ni mtoto matatani.
This fruit is better than that one!,Matunda haya ni bora kuliko lile!
We were in a state of incredible weakness.,Tulikuwa katika hali ya udhaifu wa ajabu.
"As of now, I refuse to get involved with any sort of drama. It's very childish and annoying to say the least.","Kama ilivyo sasa, nakataa kuhusika na aina yoyote ya sarakasi. Ni ya kitoto sana na inasikitisha kabisa."
The instructions are on the package.,Maagizo yako kwenye kifurushi.
My mom yells at me all the time for no reason.,Mama alinipigia kelele wakati huo bila sababu.
The security situation on the border became explosive this weekend.,Hali ya usalama kwenye mpaka ililipuka wikendi hii.
Kind of Blue is Miles Davis' most famous album.,Aina ya Bluu ni Albamu maarufu zaidi kwa Miles Davis.
"I fear that the ghost exists. It has been well known for three centuries, since 1584 in fact, and always makes its appearance before the death of any member of our family.","Ninaogopa kuwa mizimu ipi. Imejulikana sana kwa karne tatu, tangu 1584 kwa kweli, na kila wakati huonekana kabla ya kifo cha mtu yeyote wa familia yetu."
What'll we call it?,Tutauita nini?
The passengers are waiting.,Wasafiri wanangojea.
Society does not encourage relationships between people who have a large age gap.,Jamii hahimili uhusiano kati ya watu ambao wana tofauti kubwa la umri.
There is no middle ground between these two options.,Hakuna eneo la kati baina ya chaguzi hizi mbili.
"In a first-past-the-post voting system, many votes are wasted.","Katika mfumo wa upigaji kura wa kwanza-wa-kura, kura nyingi huharibika."
Students are required to perform one hour of community service per week.,Wanafunzi wanahitajika kufanya huduma ya jamii kwa saa moja kila wiki
He could see the entire landscape from the top of the mountain.,Angeweza kuona mazingira yote kutoka juu ya mlima.
More information on the system structure is available in the Features section.,Habari zaidi juu ya muundo wa mfumo inapatikana katika sehemu ya Sifa.
The Black Death wiped out at least one third of Europe's population between 1348 and 1350.,Kifo cha watu weusi kilifuta angalau theluthi moja ya idadi ya watu wa Ulaya kati ya 1348 na 1350.
We have a lot of homework.,Tuna kazi nyingi za shule.
The population of the village dropped by a third.,Idadi ya watu wa kijiji hicho ilishuka kwa theluthi.
"If that woman will love me for who I am for a lifetime, I would marry her.","Ikiwa mwanamke huyo atanipenda nilivyo maishani, nitamuoa."
The highest wisdom is that of the heart.,Hekima hutoka moyoni.
I have basic reading knowledge of Italian and Swedish.,Nina maarifa ya msingi ya kusoma ya Italia na Uswidi.
I have some advice for you.,Nina ushauri kwako.
You wouldn't like it.,Hutaipenda.
We'll get there eventually.,Mwishowe tutafika hapo.
We've all got to do better.,Sisi sote tunauwezo wa kufanya bora.
I applied to the school for the lab assistant position.,Nilituma maombi ya nafasi ya msaidizi wa maabara shuleni.
We're going there alone.,Tunaenda huko pekee yetu.
This bank secretly opened bank accounts in people's names without their permission.,Benki hii ilifungua akaunti za benki kwa siri kwa majina ya watu bila idhini yao.
You're much smarter than I am.,Wewe ni mwerevu kuniliko.
That is not what they are going to talk about.,Hill si jambo watakalozungumzia.
I don't like being around poor people.,Sipendi kuwa karibu na watu masikini.
Hopefully this Punch & Judy show is nearly over.,Natumai kuwa onyesho hili la Punch & Judy limekaribia kukamilika.
The two most powerful warriors are patience and time.,Mashujaa wawili wenye nguvu zaidi ni uvumilivu na wakati.
Can I have a one-day ticket?,Naweza kupata tiketi ya Siku moja?
"Come on now, stop whimpering all the time, let's go somewhere for a change of mood.","Njoo sasa, acha kuwaza wakati wote, wacha tuende mahali kwa badiliko la mhemko."
I didn't understand what he wanted to tell me.,Sikuelewa kuwa alitaka kuniambia.
There aren't any books in French in the library.,Hakuna vitabu vyovyote vya Kifaransa maktabani.
The tide destroyed the sand castle.,Mawimbi yaliharibu ngome ya mchanga.
"He's a cracking bloke, he is.",Yeye ni mwanume mzuri.
No man has a good enough memory to be a successful liar.,Hakuna mwanye kumbukumbu nzuri ya kuwa mwongo.
You get used to anything.,Unazoea kila kitu.
Hopefully she doesn't grow up to be a maniac like the rest of her family.,Natumaini yeye asikue na kuwa kichaa kama familia yake.
Coffee with lots of sugar and milk passes for a real meal.,Kahawa iliyo na sukari nyingi na maziwa ni kama chakula kamili.
I live in a small village fifty kilometers from the Polish capital.,Ninaishi katika kijiji kidogo kilomita hamsini kutoka mji mkuu wa Kipolishi.
I got here Monday night.,Niliwasili hapa Jumatatu usiku.
I'd really rather not know.,Afadhali nisijue kamwe.
She's a drag king.,Yeye ni mfalme wa kuvuruta.
